HAGRID#	Family	Genus_species	Common name	Adult mass (g)	Log Mass	Longevity (yrs)	Log Longevity	Pred log long	Pred longevity	Longevity Quotient	Longevity residual	Source (AnAge or Pers comm)	Data origin	Data quality (AnAge)	Cave roost	Cave use sometimes or always	Hibernation	Abs(Median latitude)	Births/yr	Litter size	Prog/yr	Colony Size	Log Col size	Diet	N-TLF	N-TLM	TL-Female (mm)	TL-Male (mm)	TL-FSD	TL-MSD	TL dimorph
2066	Vespertilionidae	Plecotus_auritus	Brown big-eared bat	7.8	0.892	30	1.477	0.728	5.340	5.618	0.750	424	wild	acceptable	sometimes	Yes	Yes	52	1	1.4	1.4	75	1.875	animal	1	1	104.00	88.00			-0.241
2067	Vespertilionidae	Plecotus_austriacus	Gray big-eared bat	12.0	1.079	25.5	1.407	0.763	5.788	4.406	0.644	970	wild	acceptable	sometimes	Yes	Yes	45	1	1	1	25	1.398	animal	29	13	101.03	97.92	3.41	3.73	-0.045
2007	Pteropodidae	Pteropus_alecto	Black flying fox	672.1	2.827	19.7	1.294	1.089	12.277	1.605	0.205	671	captivity	acceptable	never	No	No	14	1	1	1	10000	4.000	plant	33	31	253.85	265.26	17.06	20.38	0.063
2009	Pteropodidae	Pteropus_dasymallus	Ryukyu flying fox	435.0	2.638	24	1.380	1.054	11.319	2.120	0.326	671	captivity	acceptable	never	No	No	25	1	1	1	10	1.000	plant	2	3	191.50	219.33	4.95	12.34	0.196
2010	Pteropodidae	Pteropus_giganteus	Indian flying fox	1175.0	3.070	40	1.602	1.134	13.627	2.935	0.468	671	captivity	high	never	No	No	10	1	1	1	900	2.954	plant	17	15	247.29	254.80	33.92	13.97	0.043
2011	Pteropodidae	Pteropus_hypomelanus	Variable flying fox	450.0	2.653	26.5	1.423	1.057	11.391	2.326	0.367	B. Pope	captivity	acceptable	never	No	No	5	1	1	1	1000	3.000	plant	15	14	210.13	214.14	11.25	11.64	0.027
2012	Pteropodidae	Pteropus_livingstonii	Comoro black flying fox	696.5	2.843	15	1.176	1.092	12.359	1.214	0.084	671	captivity	acceptable	never	No	No	13	1	1	1	50	1.699	plant	0	0					
2013	Pteropodidae	Pteropus_lylei	Lyle's flying fox	316.7	2.501	20.4	1.310	1.028	10.667	1.912	0.282	671	captivity	acceptable	never	No	No	12	1	1	1	1000	3.000	plant	2	1	237.50	235.00	17.68		-0.015
2014	Pteropodidae	Pteropus_niger	Greater mascarene flying fox	456.3	2.659	19.4	1.288	1.058	11.420	1.699	0.230	671	captivity	acceptable	never	No	No	20	1	1	1	50	1.699	plant	2	3	197.50	218.67	0.71	9.29	0.147
2015	Pteropodidae	Pteropus_poliocephalus	Gray-headed flying fox	675.0	2.829	23.6	1.373	1.089	12.287	1.921	0.283	671	captivity	acceptable	never	No	No	30	1	1	1	1000	3.000	plant	8	7	262.38	252.86	25.77	8.57	-0.053
2017	Pteropodidae	Pteropus_pumilus	Little golden-mantled flying fox	200.0	2.301	17.2	1.236	0.991	9.789	1.757	0.245	671	captivity	acceptable	never	No	No	11	1	1	1	1	0.000	plant	7	3	159.43	159.33	16.02	9.71	-0.001
2018	Pteropodidae	Pteropus_rodricensis	Rodriguez flying fox	350.0	2.544	28	1.447	1.036	10.868	2.576	0.411	671	captivity	acceptable	never	No	No	20	1	1	1	100	2.000	plant	0	6		191.67		4.72	
2019	Pteropodidae	Pteropus_scapulatus	Little red flying fox	300.0	2.477	15.8	1.199	1.024	10.560	1.496	0.175	671	captivity	acceptable	never	No	No	24	1	1	1	100000	5.000	plant	2	10	175.50	201.90	6.36	17.34	0.202
2020	Pteropodidae	Pteropus_vampyrus	Large flying fox	872.0	2.941	24	1.380	1.110	12.889	1.862	0.270	B. Pope	captivity	acceptable	never	No	No	8	1	1	1	5000	3.699	plant	14	17	293.64	306.06	26.44	34.53	0.060
2025	Rhinolophidae	Rhinolophus_euryale	Mediterranean horseshoe bat	8.2	0.914	13	1.114	0.732	5.390	2.412	0.382	970	unknown	low	sometimes	Yes	Yes	40	1	1	1	200	2.301	animal	33	38	81.21	81.39	2.56	2.05	0.003
2026	Rhinolophidae	Rhinolophus_ferrumequinum	Greater horseshoe bat	22.9	1.359	30.5	1.484	0.815	6.529	4.671	0.669	1	wild	acceptable	sometimes	Yes	Yes	45	1	1	1	100	2.000	animal	38	25	100.97	101.40	15.19	8.00	0.006
2027	Rhinolophidae	Rhinolophus_hipposideros	Lesser horseshoe bat	4.6	0.663	29.4	1.468	0.685	4.839	6.076	0.784	970	wild	acceptable	sometimes	Yes	Yes	45	1	1	1	50	1.699	animal	24	23	69.33	67.78	4.78	3.34	-0.033
2022	Pteropodidae	Rousettus_aegyptiacus	Egyptian rousette	125.0	2.097	22.9	1.360	0.953	8.967	2.554	0.407	424	wild	acceptable	always	Yes	No	0	1	1.17	1.17	3000	3.477	plant	67	29	145.27	143.31	16.38	17.22	-0.020
2023	Pteropodidae	Rousettus_lanosus	Long-haired rousette	103.0	2.013	18.7	1.272	0.937	8.648	2.162	0.335	671	captivity	acceptable	always	Yes	No	0	2	1	2	200	2.301	animal	13	5	155.23	167.00	8.95	7.48	0.105
2024	Pteropodidae	Rousettus_leschenaultii	Leschenault's rousette	108.3	2.034	14	1.146	0.941	8.729	1.604	0.205	671	captivity	acceptable	always	Yes	No	15	1	1	1	1000	3.000	plant	34	18	128.06	132.72	12.52	12.45	0.052
1974	Emballonuridae	Saccopteryx_bilineata	Greater sac-winged bat	7.9	0.898	6	0.778	0.729	5.353	1.121	0.050	424	wild	acceptable	never	No	No	0	1	1	1	50	1.699	animal	155	78	72.74	70.69	7.74	5.74	-0.041
1998	Phyllostomidae	Sturnira_lilium	Little yellow-shouldered bat	20.0	1.301	12	1.079	0.804	6.367	1.885	0.275	671	captivity	acceptable	never	No	No	0	2	1	2	2	0.301	animal	1592	1476	61.79	62.77	4.22	4.27	0.023
1981	Molossidae	Tadarida_brasiliensis	Brazilian free-tailed bat	12.5	1.097	12	1.079	0.766	5.832	2.058	0.313	671	captivity	acceptable	always	Yes	No	0	1	1	1	100000	5.000	animal	253	258	97.22	96.42	8.26	10.35	-0.012
1982	Molossidae	Tadarida_teniotis	European free-tailed bat	35.0	1.544	13	1.114	0.849	7.069	1.839	0.265	424	wild	acceptable	sometimes	Yes	No	40	1	1	1	50	1.699	animal	2	3	139.50	142.33	2.12	2.08	0.029
2069	Vespertilionidae	Vespertilio_murinus	Particolored bat	18.7	1.272	14.5	1.161	0.798	6.288	2.306	0.363	970	wild	low	never	No	Yes	50	1	2	2	1000	3.000	animal	12	4	108.08	106.25	6.08	2.22	-0.025
